,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,credit,Decile,TotalHP
79,0,1,1,1,225000,4,1,2,1,1,0,0,0,3,2,0,8,1
80,0,0,1,0,247500,0,4,0,1,1,0,0,0,8,2,1,8,1
81,1,1,1,0,135000,4,4,1,1,1,0,0,1,14,2,0,7,1
82,0,1,1,0,216000,4,1,0,1,1,0,0,1,0,2,2,8,1
83,0,0,0,2,180000,4,1,1,1,1,0,0,0,6,4,1,8,1
84,1,1,1,0,135000,1,4,1,1,1,0,1,0,18,2,2,7,2
85,1,1,0,0,184500,4,4,1,2,1,0,0,0,8,2,1,8,1
86,1,1,1,1,112500,4,4,1,1,1,1,0,1,4,3,2,6,2
87,0,0,1,0,270000,0,4,4,1,1,1,1,1,3,1,2,8,3
88,0,1,1,0,360000,0,4,1,1,1,0,0,0,10,2,2,8,1
89,1,0,0,0,450000,0,2,1,1,1,1,1,0,10,2,2,8,3
90,0,0,1,0,45000,2,4,1,1,1,1,0,0,1,2,2,2,2
91,0,1,1,0,202500,4,4,1,1,1,0,0,0,12,2,2,8,1
92,1,1,1,1,135000,0,4,1,1,1,0,0,0,8,3,2,7,1
93,0,0,1,0,202500,0,4,3,1,1,0,0,0,6,1,1,8,1
94,0,0,1,0,180000,1,4,1,1,1,0,0,0,18,2,2,8,1
95,1,0,1,0,79650,1,4,1,1,1,0,1,0,18,2,2,5,2
96,1,0,1,0,450000,0,4,1,1,1,0,0,0,16,2,2,8,1
97,1,1,1,0,157500,4,4,0,1,1,0,0,0,4,2,2,7,1
98,1,1,1,0,450000,0,1,3,1,1,0,0,1,14,1,2,8,1
99,0,0,0,0,270000,2,4,2,1,1,0,1,1,11,1,2,8,2
100,0,0,1,0,135000,4,1,1,1,1,0,0,0,12,2,2,7,1
101,0,0,1,0,81000,4,4,1,1,1,1,1,0,10,2,1,5,3
102,0,0,0,1,135000,0,4,1,1,1,0,0,0,10,3,2,7,1
103,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,2,8,3
104,1,1,1,0,225000,0,1,3,1,1,0,1,0,14,1,0,8,2
105,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,2,7,1
106,0,0,0,1,90000,4,4,1,1,1,0,1,0,18,3,2,6,2
107,0,1,0,1,306000,4,1,1,1,1,0,0,0,18,3,1,8,1
108,0,0,1,0,153000,4,1,3,1,1,0,1,0,3,1,2,7,2
109,0,0,1,0,126000,4,4,1,1,1,1,1,0,6,2,2,7,3
110,1,1,1,0,315000,0,1,1,1,1,0,0,0,10,2,2,8,1
111,1,1,1,1,225000,4,4,1,1,1,0,0,0,4,3,2,8,1
112,0,0,0,0,193500,4,4,3,1,1,0,1,0,8,1,2,8,2
113,0,0,1,2,90000,0,4,1,1,1,0,0,0,2,4,1,6,1
114,1,1,1,2,135000,4,1,1,1,1,0,0,1,10,4,2,7,1
115,0,0,0,0,81000,1,4,1,1,1,0,0,0,18,2,2,5,1
116,0,1,1,1,382500,4,4,1,1,1,0,0,0,10,3,2,8,1
117,0,0,1,0,202500,0,4,1,1,1,0,0,0,14,2,2,8,1
118,0,0,1,0,112500,4,1,1,1,1,0,1,0,14,2,2,6,2
119,0,0,1,2,144000,4,4,1,1,1,1,1,0,2,4,1,7,3
120,0,0,1,0,157500,1,4,4,1,1,0,0,0,18,1,1,7,1
121,0,0,0,0,144000,4,4,1,2,1,1,1,0,14,2,2,7,3
122,0,1,1,2,283500,2,1,1,1,1,0,0,0,3,4,2,8,1
123,0,0,1,0,202500,4,4,1,1,1,0,0,0,6,2,2,8,1
124,0,1,1,2,90000,0,4,1,1,1,0,0,0,0,4,2,6,1
125,1,0,1,0,360000,0,4,1,1,1,0,0,0,10,2,2,8,1
126,0,1,0,1,175500,0,4,3,2,1,0,0,0,8,2,2,7,1
127,1,1,1,1,360000,0,1,1,1,1,0,1,1,8,3,2,8,2
128,0,0,1,1,112500,4,4,1,1,1,0,0,0,8,3,1,6,1
129,1,0,0,1,315000,4,4,1,1,1,0,0,0,8,3,2,8,1
130,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,0,8,1
131,0,1,0,0,202500,0,4,0,5,1,0,1,0,18,2,0,8,2
132,0,0,0,0,225000,0,1,1,1,1,1,1,0,4,2,2,8,3
133,0,1,0,1,387000,4,1,1,1,1,0,0,0,10,3,2,8,1
134,0,1,1,0,135000,1,4,4,1,1,0,0,0,18,1,2,7,1
135,1,1,0,1,337500,0,1,2,1,1,0,1,0,10,2,0,8,2
136,0,0,0,1,225000,0,4,0,1,1,0,0,0,0,3,2,8,1
137,0,1,1,1,225000,0,4,1,1,1,0,0,0,14,3,2,8,1
138,0,0,1,0,54000,1,4,1,1,1,0,0,0,18,2,0,3,1
139,0,1,0,0,157500,0,4,1,1,1,0,1,0,18,2,2,7,2
140,1,1,1,1,180000,4,1,1,5,1,1,0,0,8,3,0,8,2
141,0,1,1,1,112500,0,1,0,1,1,0,0,1,3,3,2,6,1
142,1,1,1,0,360000,4,1,1,1,1,0,1,0,10,2,2,8,2
143,0,1,1,0,256500,0,4,1,1,1,0,0,1,3,2,2,8,1
144,0,1,0,0,180000,4,4,1,1,1,0,0,0,18,2,2,8,1
145,0,1,0,0,202500,2,4,1,1,1,0,1,0,11,2,2,8,2
146,0,0,0,0,247500,4,1,1,1,1,1,1,0,10,2,1,8,3
147,0,0,1,0,157500,4,1,1,1,1,0,0,0,14,2,1,7,1
148,1,1,1,0,225000,4,4,1,1,1,0,1,0,18,2,2,8,2
149,0,0,1,2,112500,4,4,1,1,1,0,0,0,8,4,1,6,1
150,0,1,0,1,157500,4,1,1,1,1,0,0,0,8,3,2,7,1
151,1,1,1,0,360000,0,4,1,1,1,0,0,0,4,2,2,8,1
152,0,1,1,0,360000,4,4,2,1,1,1,0,0,11,1,2,8,2
153,1,1,1,0,180000,0,4,1,1,1,0,0,0,4,2,1,8,1
154,0,0,0,0,175500,4,4,1,1,1,1,0,0,18,2,2,7,2
155,0,0,1,0,90000,1,4,1,1,1,0,0,0,18,2,2,6,1
156,1,0,1,1,135000,4,4,2,1,1,0,0,0,8,2,2,7,1
157,1,0,1,2,157500,4,4,1,1,1,0,0,0,18,4,2,7,1
158,1,0,1,1,202500,2,1,1,1,1,0,0,0,3,3,2,8,1
159,0,0,1,0,153000,1,1,1,1,1,0,1,0,18,2,1,7,2
160,0,1,1,1,72000,4,4,1,1,1,0,0,0,14,3,2,4,1
161,1,1,1,2,360000,4,4,1,1,1,0,1,0,10,4,0,8,2
162,0,0,0,1,540000,4,4,2,1,1,1,0,0,10,2,2,8,2
163,0,0,1,0,155250,1,4,1,1,1,0,0,0,18,2,2,7,1
164,1,1,1,0,189000,4,4,1,1,1,0,0,1,16,2,1,8,1
165,0,0,1,0,139500,2,1,1,1,1,1,1,0,18,2,1,7,3
166,0,0,1,0,495000,1,4,4,1,1,0,1,0,18,1,2,8,2
167,1,1,0,0,459000,0,4,1,1,1,1,1,0,4,2,2,8,3
168,0,0,0,0,157500,4,4,1,1,1,1,1,0,18,2,1,7,3
169,0,0,1,1,225000,4,4,2,1,1,0,0,0,18,2,1,8,1
170,1,1,1,1,450000,0,4,1,1,1,0,1,1,3,3,2,8,2
171,0,0,0,0,135000,4,4,1,1,1,0,0,0,12,2,0,7,1
172,1,0,1,1,135000,4,4,1,1,1,0,0,0,18,3,1,7,1
173,0,0,1,0,189000,1,4,1,1,1,0,0,0,18,2,0,8,1
174,0,0,1,0,225000,0,1,1,1,1,0,0,1,14,2,2,8,1
175,1,0,1,0,112500,4,4,1,1,1,0,0,0,4,2,1,6,1
176,0,1,0,0,315000,2,1,1,1,1,1,0,0,10,2,2,8,2
177,0,0,0,0,157500,0,1,3,4,1,0,0,0,18,1,1,7,1
178,1,0,0,0,126000,1,4,1,1,1,0,0,0,18,2,2,7,1
179,1,1,1,0,315000,0,4,1,4,1,0,0,0,4,2,2,8,1
180,0,1,1,0,720000,0,1,2,1,1,1,1,0,10,1,2,8,3
181,0,0,1,0,90000,1,4,1,1,1,0,0,0,18,2,0,6,1
182,0,0,1,2,67500,4,1,1,1,1,1,0,0,18,4,0,4,2
183,0,0,1,0,157500,1,4,1,1,1,0,1,0,18,2,1,7,2
184,1,1,0,0,225000,4,4,1,3,1,0,0,1,4,2,2,8,1
185,0,0,1,0,180000,4,3,4,1,1,1,1,0,1,1,2,8,3
186,0,1,1,0,216000,4,1,1,1,1,0,0,0,15,2,2,8,1
187,0,1,1,1,157500,0,4,1,1,1,0,0,0,8,3,1,7,1
188,0,0,0,0,112500,1,4,4,1,1,0,0,0,18,1,0,6,1
189,0,0,1,0,112500,4,4,1,1,1,0,0,0,18,2,2,6,1
190,0,0,1,0,90000,1,4,3,1,1,0,1,0,18,1,0,6,2
191,0,0,0,0,121500,1,4,1,1,1,0,0,0,18,2,2,7,1
192,0,0,1,0,135000,4,1,1,1,1,0,0,0,8,2,2,7,1
193,1,1,0,0,202500,0,4,1,1,1,0,0,0,16,2,0,8,1
194,1,1,0,1,252000,2,1,1,1,1,1,1,0,6,3,1,8,3
195,0,0,1,0,202500,4,4,0,1,1,0,0,0,8,2,2,8,1
196,1,1,1,0,202500,4,4,1,1,1,0,0,0,10,2,2,8,1
197,1,0,1,1,360000,4,4,0,1,1,0,0,0,14,3,2,8,1
198,0,0,1,2,225000,2,4,1,1,1,1,0,0,11,4,1,8,2
199,0,0,1,2,360000,4,4,1,1,1,0,1,0,14,4,2,8,2
200,1,1,1,0,202500,4,1,1,1,1,0,0,0,10,2,1,8,1
201,0,1,1,0,225000,4,1,1,1,1,0,0,0,3,2,1,8,1
202,0,0,0,0,135000,4,1,1,1,1,1,0,0,3,2,1,7,2
203,1,1,1,0,360000,0,4,1,1,1,0,1,0,8,2,2,8,2
204,1,0,0,0,382500,4,4,1,2,1,1,1,0,10,2,1,8,3
205,0,0,1,0,171000,4,4,3,4,1,0,0,0,8,1,2,7,1
206,1,0,0,0,292500,2,4,1,1,1,1,1,0,3,2,1,8,3
207,0,1,0,0,144000,4,4,4,1,1,0,0,0,5,1,2,7,1
208,0,0,0,2,112500,2,1,1,1,1,0,0,1,3,4,0,6,1
209,0,0,1,0,81000,1,4,1,1,1,0,1,0,18,2,2,5,2
210,0,1,1,1,225000,4,1,2,1,1,0,0,0,3,2,1,8,1
211,0,0,1,0,315000,0,1,2,1,1,1,1,0,0,1,2,8,3
212,1,1,1,1,427500,4,1,1,1,1,0,0,0,10,3,1,8,1
213,0,0,0,0,78750,4,4,1,5,1,1,0,0,16,2,2,5,2
214,0,0,0,0,67500,1,1,4,1,1,0,0,0,18,1,0,4,1
215,0,0,1,0,121500,4,4,1,1,1,0,0,0,8,2,2,7,1
216,0,0,0,0,144000,4,4,3,1,1,1,1,0,3,1,2,7,3
217,0,0,1,0,135000,1,4,1,1,1,0,0,0,18,2,1,7,1
218,0,0,0,0,94500,1,4,1,1,1,0,1,0,18,2,0,6,2
219,0,1,0,0,562500,4,1,1,1,1,1,0,0,10,2,0,8,2
220,0,0,1,0,90000,1,4,3,1,1,0,0,0,18,1,1,6,1
221,0,0,0,1,72000,0,1,1,1,1,0,0,1,0,3,2,4,1
222,1,0,1,0,144000,4,4,0,1,1,0,0,0,16,2,2,7,1
223,0,1,0,0,202500,0,4,1,2,1,0,1,0,0,2,2,8,2
224,0,0,0,0,270000,4,1,1,1,1,1,1,0,10,2,2,8,3
225,1,1,0,1,180000,4,4,1,1,1,0,0,0,18,3,1,8,1
226,0,1,1,2,315000,0,1,1,5,1,0,0,0,10,4,2,8,1
227,1,1,1,0,180000,4,4,1,1,1,0,0,0,18,2,1,8,1
228,1,0,1,0,292500,0,1,3,4,1,0,1,0,14,1,0,8,2
229,0,0,1,0,90000,1,1,1,1,1,0,0,0,18,2,2,6,1
230,0,0,0,0,103500,4,4,1,1,1,1,0,0,11,2,2,6,2
231,0,1,0,0,67500,1,4,1,1,1,0,1,0,18,2,2,4,2
232,0,1,1,0,225000,4,1,0,1,1,0,0,0,14,2,0,8,1
233,1,1,1,0,112500,4,4,1,1,1,0,0,0,18,2,1,6,1
234,1,1,1,0,450000,0,4,1,1,1,0,1,1,4,2,1,8,2
235,1,0,1,0,247500,0,1,0,1,1,0,0,0,3,2,1,8,1
236,1,1,0,0,247500,0,4,1,1,1,0,0,0,4,2,1,8,1
237,0,0,0,0,112500,2,4,1,1,1,1,1,0,18,2,2,6,3
238,1,0,0,0,225000,4,4,1,1,1,1,0,0,8,2,2,8,2
239,0,1,1,1,270000,4,1,2,1,1,0,1,1,14,2,2,8,2
240,1,1,0,0,382500,2,1,1,3,1,0,0,0,18,2,1,8,1
241,1,0,0,2,202500,4,4,1,1,1,0,1,0,8,4,1,8,2
242,0,0,0,2,180000,0,4,1,1,1,1,0,0,0,4,2,8,2
243,0,0,1,0,112500,0,4,3,1,1,0,0,0,14,1,2,6,1
244,1,0,0,1,99000,4,4,3,1,1,0,0,0,8,2,1,6,1
245,0,1,1,1,157500,2,4,1,1,1,0,0,0,8,3,0,7,1
246,0,1,1,0,202500,4,1,1,1,1,0,0,0,0,2,1,8,1
247,0,0,1,0,90000,4,4,1,1,1,0,0,1,1,2,2,6,1
248,1,1,1,2,157500,0,1,1,5,1,0,0,0,4,4,2,7,1
249,1,0,0,0,180000,4,1,1,1,1,0,0,0,3,2,1,8,1
250,1,0,1,1,180000,0,4,1,2,1,0,0,0,6,3,1,8,1
251,0,0,0,0,202500,1,4,1,1,1,0,1,0,18,2,2,8,2
252,0,1,0,1,90000,4,2,1,4,1,0,0,0,8,3,1,6,1
253,0,0,1,0,225000,0,1,3,1,1,1,1,0,3,1,2,8,3
254,0,1,1,0,126000,0,4,1,1,1,0,0,0,3,2,2,7,1
255,0,0,1,1,180000,2,1,1,1,1,0,0,1,6,3,1,8,1
256,0,0,1,2,360000,0,4,3,1,1,0,0,0,14,3,2,8,1
257,0,0,1,0,157500,1,4,4,1,1,0,0,0,18,1,1,7,1
258,0,0,1,0,315000,4,4,2,1,1,0,0,0,8,1,0,8,1
259,0,1,1,1,270000,4,4,1,1,1,0,0,0,8,3,2,8,1
260,0,0,1,1,180000,4,1,0,1,1,0,0,0,14,3,1,8,1
261,0,0,1,2,180000,4,4,1,1,1,1,0,0,3,4,2,8,2
262,1,0,0,0,180000,0,2,1,1,1,0,0,0,18,2,2,8,1
263,0,0,0,1,180000,4,2,1,5,1,0,0,0,18,3,2,8,1
264,0,0,0,0,81000,1,4,1,1,1,0,0,0,18,2,2,5,1
265,0,0,0,0,67500,0,4,0,1,1,0,0,0,18,2,0,4,1
266,0,0,1,0,238500,4,1,1,1,1,1,1,0,14,2,2,8,3
267,0,1,1,0,202500,1,1,4,1,1,0,0,1,18,1,2,8,1
268,0,0,1,0,630000,4,1,2,1,1,1,1,0,0,1,2,8,3
269,0,0,1,0,405000,0,4,3,1,1,0,0,0,14,1,2,8,1
270,1,1,0,2,135000,4,1,1,1,1,0,0,0,3,4,0,7,1
271,0,1,0,0,112500,4,1,1,5,1,1,1,0,3,2,2,6,3
272,0,0,1,0,67500,1,4,1,1,1,0,0,0,18,2,2,4,1
273,1,1,0,2,135000,4,4,1,5,1,0,0,0,18,4,2,7,1
274,1,1,1,0,184500,2,1,1,1,1,0,0,0,10,2,2,8,1
275,1,1,0,1,337500,2,1,1,1,1,0,0,0,18,3,1,8,1
276,0,0,0,0,67500,1,4,2,1,1,0,0,0,18,1,2,4,1
277,1,0,1,1,90000,0,4,1,5,1,0,0,0,8,3,0,6,1
278,0,0,1,0,180000,4,1,1,1,1,1,0,0,3,2,1,8,2
279,1,1,1,0,112500,1,4,1,1,1,0,0,0,18,2,1,6,1
280,0,0,1,0,112500,4,4,1,1,1,0,1,0,2,2,1,6,2
281,0,0,1,0,76500,1,4,1,1,1,0,1,0,18,2,2,5,2
282,1,0,0,0,90000,1,4,3,1,1,0,0,0,18,1,2,6,1
283,1,1,1,0,252000,0,1,1,1,1,0,0,0,4,2,2,8,1
284,1,1,1,0,180000,1,4,0,1,1,0,1,0,18,2,2,8,2
285,0,0,1,0,112500,4,4,4,1,1,1,0,0,8,1,0,6,2
286,1,0,1,1,562500,4,2,1,1,1,1,1,0,18,3,2,8,3
287,0,0,0,0,112500,0,4,1,1,1,0,0,0,18,2,2,6,1
288,0,0,1,0,270000,4,4,3,1,1,0,0,0,3,1,2,8,1
289,1,0,0,3,90000,2,4,1,1,1,0,0,1,18,5,2,6,1
290,0,0,0,2,135000,0,4,1,1,1,1,1,0,8,4,2,7,3
291,0,0,0,0,157500,2,1,1,1,1,1,1,0,3,2,2,7,3
292,0,0,0,0,135000,0,4,1,1,1,0,1,0,18,2,0,7,2
293,0,1,1,0,301500,1,1,1,1,1,0,1,0,18,2,2,8,2
294,1,1,1,0,225000,4,4,1,1,1,0,0,0,8,2,1,8,1
295,0,0,0,0,135000,2,1,2,5,1,1,0,0,7,1,2,7,2
296,1,1,0,0,247500,4,2,2,1,1,1,1,0,10,1,2,8,3
297,0,0,0,0,270000,4,4,0,3,1,1,1,0,14,2,2,8,3
298,1,1,1,0,315000,4,1,1,1,1,0,0,0,14,2,1,8,1
299,0,0,1,0,135000,0,4,1,1,1,0,0,1,8,2,2,7,1
300,1,1,0,2,315000,0,4,1,1,1,0,1,0,8,4,2,8,2
301,1,0,0,0,180000,0,4,1,1,1,1,1,0,8,2,1,8,3
302,0,1,1,0,256500,0,4,3,1,1,0,0,0,3,1,1,8,1
303,1,1,1,0,180000,4,4,1,1,1,0,0,0,6,2,2,8,1
304,0,0,1,0,112500,1,4,1,1,1,0,1,0,18,2,0,6,2
305,0,0,0,2,382500,2,4,1,1,1,0,0,0,16,4,0,8,1
306,0,0,1,0,112500,4,4,1,2,1,0,0,0,18,2,1,6,1
307,1,1,1,2,450000,0,1,1,1,1,1,1,0,10,4,2,8,3
308,1,1,1,0,180000,4,4,1,1,1,0,0,0,14,2,1,8,1
309,0,0,0,0,247500,0,4,0,1,1,1,1,0,8,2,2,8,3
310,0,1,1,0,315000,0,1,1,1,1,0,0,0,10,2,2,8,1
311,1,0,1,0,229500,4,4,3,1,1,1,1,0,4,1,1,8,3
312,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,2,7,1
313,0,0,1,0,135000,2,1,1,1,1,0,1,0,3,2,1,7,2
314,0,0,0,0,135000,4,4,1,1,1,0,1,0,18,2,1,7,2
315,0,0,0,0,166500,4,1,1,1,1,0,0,0,3,2,2,7,1
316,0,1,1,0,463500,4,1,1,1,1,1,1,0,10,2,0,8,3
317,0,0,1,0,90000,1,4,0,1,1,0,0,0,18,2,2,6,1
318,0,0,1,0,157500,2,4,4,1,1,0,1,0,4,1,1,7,2
319,0,0,0,1,225000,0,4,0,1,1,0,0,0,0,3,2,8,1
320,0,1,0,2,135000,4,1,0,2,1,1,1,0,14,4,1,7,3
321,1,1,0,4,202500,0,4,1,1,1,0,0,0,16,6,2,8,1
322,1,0,1,1,202500,0,4,1,1,1,0,0,0,4,3,2,8,1
323,1,1,1,1,405000,0,4,1,1,1,0,0,0,18,3,2,8,1
324,1,1,1,0,135000,4,4,1,1,1,0,1,0,9,2,1,7,2
325,1,1,1,0,225000,4,1,3,5,1,1,1,0,18,1,2,8,3
326,0,1,0,0,225000,4,4,4,1,1,0,0,0,14,1,0,8,1
327,0,0,0,0,126000,0,4,1,2,1,1,1,0,14,2,2,7,3
328,1,1,1,1,270000,4,4,1,1,1,0,1,0,8,3,2,8,2
329,0,0,1,0,90000,2,4,2,1,1,0,0,0,18,1,2,6,1
330,0,0,0,0,270000,2,4,2,1,1,0,1,1,11,1,2,8,2
331,1,1,0,0,157500,4,1,1,1,1,0,0,0,18,2,2,7,1
332,0,0,0,0,180000,4,4,1,1,1,0,0,0,11,2,1,8,1
333,1,1,1,0,184500,2,1,1,1,1,0,0,0,10,2,1,8,1
334,0,0,0,1,270000,4,4,2,1,1,0,0,0,3,2,2,8,1
335,0,0,1,0,99000,2,1,1,1,1,1,1,0,8,2,2,6,3
336,0,1,1,0,432000,0,2,1,1,1,0,1,1,10,2,0,8,2
337,1,0,1,0,180000,0,4,1,1,1,1,1,0,16,2,0,8,3
338,0,0,1,0,247500,1,4,1,1,1,0,0,0,18,2,2,8,1
339,0,0,1,2,180000,4,4,1,1,1,0,1,0,8,4,2,8,2
340,0,1,1,0,117000,4,4,1,1,1,0,0,0,14,2,2,6,1
341,0,1,1,2,121500,4,2,1,1,1,1,1,0,3,4,2,7,3
342,0,1,1,4,112500,4,1,1,1,1,0,0,0,3,6,0,6,1
343,0,1,1,0,90000,1,4,1,1,1,0,0,0,18,2,2,6,1
344,0,1,1,0,99000,4,4,1,1,1,0,0,0,18,2,2,6,1
345,0,0,1,0,180000,1,4,1,1,1,0,0,0,18,2,1,8,1
346,1,0,0,0,225000,4,1,3,1,1,1,0,0,18,1,2,8,2
347,0,0,0,1,135000,4,4,1,1,1,0,1,0,8,3,1,7,2
348,1,1,1,0,180000,4,4,1,1,1,0,0,0,8,2,2,8,1
349,1,0,0,0,135000,0,4,0,1,1,0,1,0,4,2,2,7,2
350,0,0,1,0,787500,2,1,1,1,1,0,0,1,10,2,1,8,1
351,0,0,1,0,270000,4,4,1,1,1,0,0,0,6,2,2,8,1
352,0,0,1,0,81000,0,4,1,1,1,0,0,0,2,2,2,5,1
353,0,0,0,0,180000,4,4,0,1,1,1,0,0,11,2,2,8,2
